,feature,include,reference
1800,"Evaluation of a New Neural Network Classifier for Diabetic Retinopathy. Medical image segmentation is a well-studied subject within the field of image processing. The goal of this research is to create an AI retinal screening grading system that is both accurate and fast. We introduce a new segmentation network which achieves state-of-the-art results on semantic segmentation of color fundus photographs. By applying the net-work to identify anatomical markers of diabetic retinopathy (DR) and diabetic macular edema (DME), we collect sufficient information to classify patients by grades R0 and R1 or above, M0 and M1.",0,0
1801,"Integrating domain knowledge with machine learning to detect obstructive sleep apnea: Snore as a significant bio-feature. Our study's main purpose is to emphasise the significance of medical knowledge of pathophysiology before machine learning. We investigated whether combining domain knowledge with machine learning results might increase accuracy and minimise the number of bio-features used to detect obstructive sleep apnea (OSA). The present study analysed data on 36 self-reported symptoms and 24 clinical features obtained from 3,495 patients receiving polysomnography at a regional hospital and a medical centre. The area under the receiver operating characteristic (AUC) curve was used to evaluate patients with and without moderate or severe OSA using three prediction models on the basis of various estimation methods: the multiple logistic regression (MLR), support vector machine (SVM), and neural network (NN) methods. Odds ratios stratified by gender and age were also measured to account for clinicians' common sense. We discovered that adding the self-reported snoring item improved the AUC by 0.01-0.10 and helped us to rapidly achieve the optimum level. The performance of four items (gender, age, body mass index [BMI], and snoring) was comparable with that of adding two or more items (neck and waist circumference) for predicting moderate to severe OSA (Apnea-Hypopnea Index â‰¥15Â events/hr) in all three prediction models, demonstrating the medical knowledge value of pathophysiology. The four-item test sample AUCs were 0.83, 0.84, and 0.83 for MLR, SVM, and NN, respectively. Participants with regular snoring and a BMI of â‰¥25Â kg/m<sup>2</sup> had a greater chance of moderate to severe OSA according to the stratified adjusted odds ratios. Combining domain knowledge into machine learning could increase efficiency and enable primary care physicians to refer for an OSA diagnosis earlier.",0,0
1803,Effect of CT image acquisition parameters on diagnostic performance of radiomics in predicting malignancy of pulmonary nodules of different sizes. To investigate the effect of CT image acquisition parameters on the performance of radiomics in classifying benign and malignant pulmonary nodules (PNs) with respect to nodule size.,0,0
1809,"COV-VGX: An automated COVID-19 detection system using X-ray images and transfer learning. Coronavirus (COVID-19) has been one of the most dangerous and acute deadly diseases across the world recently. Researchers are trying to develop automated and feasible COVID-19 detection systems with the help of deep neural networks, machine learning techniques, etc. In this paper, a deep learning-based COVID-19 detection system called COV-VGX is proposed that contributes to detecting coronavirus disease automatically using chest X-ray images. The system introduces two types of classifiers, namely, a multiclass classifier that automatically predicts coronavirus, pneumonia, and normal classes and a binary classifier that predicts coronavirus and pneumonia classes. Using transfer learning, a deep CNN model is proposed to extract distinct and high-level features from X-ray images in collaboration with the pretrained model VGG-16. Despite the limitation of the COVID-19 dataset, the model is evaluated with sufficient COVID-19 images. Extensive experiments for multiclass classifier have achieved 98.91% accuracy, 97.31% precision, 99.50% recall, 98.39% F1-score, while 99.37% accuracy, 98.76% precision, 100% recall, 99.38% F1-score for binary classifier. The proposed system can contribute a lot in diagnosing COVID-19 effectively in the medical field.",0,0
1813,"Image Features of Magnetic Resonance Imaging under the Deep Learning Algorithm in the Diagnosis and Nursing of Malignant Tumors. In order to explore the effect of convolutional neural network (CNN) algorithm based on deep learning on magnetic resonance imaging (MRI) images of brain tumor patients and evaluate the practical value of MRI image features based on deep learning algorithm in the clinical diagnosis and nursing of malignant tumors, in this study, a brain tumor MRI image model based on the CNN algorithm was constructed, and 80 patients with brain tumors were selected as the research objects. They were divided into an experimental group (CNN algorithm) and a control group (traditional algorithm). The patients were nursed in the whole process. The macroscopic characteristics and imaging index of the MRI image and anxiety of patients in two groups were compared and analyzed. In addition, the image quality after nursing was checked. The results of the study revealed that the MRI characteristics of brain tumors based on CNN algorithm were clearer and more accurate in the fluid-attenuated inversion recovery (FLAIR), MRI T1, T1c, and T2; in terms of accuracy, sensitivity, and specificity, the mean value was 0.83, 0.84, and 0.83, which had obvious advantages compared with the traditional algorithm (<i>P</i> < 0.05). The patients in the nursing group showed lower depression scores and better MRI images in contrast to the control group (<i>P</i> < 0.05). Therefore, the deep learning algorithm can further accurately analyze the MRI image characteristics of brain tumor patients on the basis of conventional algorithms, showing high sensitivity and specificity, which improved the application value of MRI image characteristics in the diagnosis of malignant tumors. In addition, effective nursing for patients undergoing analysis and diagnosis on brain tumor MRI image characteristics can alleviate the patient's anxiety and ensure that high-quality MRI images were obtained after the examination.",0,0
1819,"Development and clinical deployment of a smartphone-based visual field deep learning system for glaucoma detection. By 2040, ~100 million people will have glaucoma. To date, there are a lack of high-efficiency glaucoma diagnostic tools based on visual fields (VFs). Herein, we develop and evaluate the performance of 'iGlaucoma', a smartphone application-based deep learning system (DLS) in detecting glaucomatous VF changes. A total of 1,614,808 data points of 10,784 VFs (5542 patients) from seven centers in China were included in this study, divided over two phases. In Phase I, 1,581,060 data points from 10,135 VFs of 5105 patients were included to train (8424 VFs), validate (598 VFs) and test (3 independent test sets-200, 406, 507 samples) the diagnostic performance of the DLS. In Phase II, using the same DLS, iGlaucoma cloud-based application further tested on 33,748 data points from 649 VFs of 437 patients from three glaucoma clinics. With reference to three experienced expert glaucomatologists, the diagnostic performance (area under curve [AUC], sensitivity and specificity) of the DLS and six ophthalmologists were evaluated in detecting glaucoma. In Phase I, the DLS outperformed all six ophthalmologists in the three test sets (AUC of 0.834-0.877, with a sensitivity of 0.831-0.922 and a specificity of 0.676-0.709). In Phase II, iGlaucoma had 0.99 accuracy in recognizing different patterns in pattern deviation probability plots region, with corresponding AUC, sensitivity and specificity of 0.966 (0.953-0.979), 0.954 (0.930-0.977), and 0.873 (0.838-0.908), respectively. The 'iGlaucoma' is a clinically effective glaucoma diagnostic tool to detect glaucoma from humphrey VFs, although the target population will need to be carefully identified with glaucoma expertise input.",1,1
1822,"Deep learning-based prediction of early cerebrovascular events after transcatheter aortic valve replacement. Cerebrovascular events (CVE) are among the most feared complications of transcatheter aortic valve replacement (TAVR). CVE appear difficult to predict due to their multifactorial origin incompletely explained by clinical predictors. We aimed to build a deep learning-based predictive tool for TAVR-related CVE. Integrated clinical and imaging characteristics from consecutive patients enrolled into a prospective TAVR registry were analysed. CVE comprised any strokes and transient ischemic attacks. Predictive variables were selected by recursive feature reduction to train an autoencoder predictive model. Area under the curve (AUC) represented the model's performance to predict 30-day CVE. Among 2279 patients included between 2007 and 2019, both clinical and imaging data were available in 1492 patients. Median age was 83Â years and STS score was 4.6%. Acute (<â€‰24Â h) and subacute (day 2-30) CVE occurred in 19 (1.3%) and 36 (2.4%) patients, respectively. The occurrence of CVE was associated with an increased risk of death (HR [95% CI] 2.62 [1.82-3.78]). The constructed predictive model uses less than 107 clinical and imaging variables and has an AUC of 0.79 (0.65-0.93). TAVR-related CVE can be predicted using a deep learning-based predictive algorithm. The model is implemented online for broad usage.",0,0
1826,"ECG-based machine-learning algorithms for heartbeat classification. Electrocardiogram (ECG) signals represent the electrical activity of the human hearts and consist of several waveforms (P, QRS, and T). The duration and shape of each waveform and the distances between different peaks are used to diagnose heart diseases. In this work, to better analyze ECG signals, a new algorithm that exploits two-event related moving-averages (TERMA) and fractional-Fourier-transform (FrFT) algorithms is proposed. The TERMA algorithm specifies certain areas of interest to locate desired peak, while the FrFT rotates ECG signals in the time-frequency plane to manifest the locations of various peaks. The proposed algorithm's performance outperforms state-of-the-art algorithms. Moreover, to automatically classify heart disease, estimated peaks, durations between different peaks, and other ECG signal features were used to train a machine-learning model. Most of the available studies uses the MIT-BIH database (only 48 patients). However, in this work, the recently reported Shaoxing People's Hospital (SPH) database, which consists of more than 10,000 patients, was used to train the proposed machine-learning model, which is more realistic for classification. The cross-database training and testing with promising results is the uniqueness of our proposed machine-learning model.",0,0
1831,"A novel transcriptomic-based classifier for senescent cancer cells. The inability to unequivocally identify senescent cancer cells is hindering the development of novel anticancer therapies using senolytic compounds. In a recent study in Cell Reports, Jochems et al. used a machine-learning approach to generate a classifier for senescent cancer cells based on transcriptional signatures.",0,0
1832,Predicting Survived Events in Nontraumatic Out-of-Hospital Cardiac Arrest: A Comparison Study on Machine Learning and Regression Models. Prediction of early outcomes of nontraumatic out-of-hospital cardiac arrest (OHCA) by emergency physicians is inaccurate.,0,0
1833,"Performance of deep convolutional neural network for classification and detection of oral potentially malignant disorders in photographic images. Oral potentially malignant disorders (OPMDs) are a group of conditions that can transform into oral cancer. The purpose of this study was to evaluate convolutional neural network (CNN) algorithms to classify and detect OPMDs in oral photographs. In this study, 600 oral photograph images were collected retrospectively and grouped into 300 images of OPMDs and 300 images of normal oral mucosa. CNN-based classification models were created using DenseNet-121 and ResNet-50. The detection models were created using Faster R-CNN and YOLOv4. The image data were randomly selected and assigned as training, validating, and testing data. The testing data were evaluated to compare the performance of the CNN models with the diagnosis results produced by oral and maxillofacial surgeons. DenseNet-121 and ResNet-50 were found to produce high efficiency in diagnosis of OPMDs, with an area under the receiver operating characteristic curve (AUC) of 95%. Faster R-CNN yielded the highest detection performance, with an AUC of 74.34%. For the CNN-based classification model, the sensitivity and specificity were 100% and 90%, respectively. For the oral and maxillofacial surgeons, these values were 91.73% and 92.27%, respectively. In conclusion, the DenseNet-121, ResNet-50 and Faster R-CNN models have potential for the classification and detection of OPMDs in oral photographs.",1,1
1835,"Modular deep neural networks for automatic quality control of retinal optical coherence tomography scans. Retinal optical coherence tomography (OCT) with intraretinal layer segmentation is increasingly used not only in ophthalmology but also for neurological diseases such as multiple sclerosis (MS). Signal quality influences segmentation results, and high-quality OCT images are needed for accurate segmentation and quantification of subtle intraretinal layer changes. Among others, OCT image quality depends on the ability to focus, patient compliance and operator skills. Current criteria for OCT quality define acceptable image quality, but depend on manual rating by experienced graders and are time consuming and subjective. In this paper, we propose and validate a standardized, grader-independent, real-time feedback system for automatic quality assessment of retinal OCT images. We defined image quality criteria for scan centering, signal quality and image completeness based on published quality criteria and typical artifacts identified by experienced graders when inspecting OCT images. We then trained modular neural networks on OCT data with manual quality grading to analyze image quality features. Quality analysis by a combination of these trained networks generates a comprehensive quality report containing quantitative results. We validated the approach against quality assessment according to the OSCAR-IB criteria by an experienced grader. Here, 100 OCT files with volume, circular and radial scans, centered on optic nerve head and macula, were analyzed and classified. A specificity of 0.96, a sensitivity of 0.97 and an accuracy of 0.97 as well as a Matthews correlation coefficient of 0.93 indicate a high rate of correct classification. Our method shows promising results in comparison to manual OCT grading and may be useful for real-time image quality analysis or analysis of large data sets, supporting standardized application of image quality criteria.",1,1
1837,"Nanoparticle surface-enhanced Raman spectroscopy as a noninvasive, label-free tool to monitor hematological malignancy. <b>Aim:</b> Monitoring minimal residual disease remains a challenge to the effective medical management of hematological malignancies; yet surface-enhanced Raman spectroscopy (SERS) has emerged as a potential clinical tool to do so. <b>Materials & methods:</b> We developed a cell-free, label-free SERS approach using gold nanoparticles (nanoSERS) to classify hematological malignancies referenced against two control cohorts: healthy and noncancer cardiovascular disease. A predictive model was built using machine-learning algorithms to incorporate disease burden scores for patients under standard treatment upon. <b>Results:</b> Linear- and quadratic-discriminant analysis distinguished three cohorts with 69.8Â and 71.4% accuracies, respectively. A predictive nanoSERS model correlated (MSEÂ =Â 1.6) with established clinical parameters. <b>Conclusion:</b> This study offers a proof-of-concept for the noninvasive monitoring of disease progression, highlighting the potential to incorporate nanoSERS into translational medicine.",0,0
1843,"Highly accurate diagnosis of lung adenocarcinoma and squamous cell carcinoma tissues by deep learning. Intraoperative detection of the marginal tissues is the last and most important step to complete the resection of adenocarcinoma and squamous cell carcinoma. However, the current intraoperative diagnosis is time-consuming and requires numerous steps including staining. In this paper, we present the use of Raman spectroscopy with deep learning to achieve accurate diagnosis with stain-free process. To make the spectrum more suitable for deep learning, we utilize an unusual way of thinking which regards Raman spectral signal as a sequence and then converts it into two-dimensional Raman spectrogram by short-time Fourier transform as input. The normal-adenocarcinoma deep learning model and normal-squamous carcinoma deep learning model both achieve more than 96% accuracy, 95% sensitivity and 98% specificity when test, which higher than the conventional principal components analysis-linear discriminant analysis method with normal-adenocarcinoma model (0.896 accuracy, 0.867 sensitivity, 0.926 specificity) and normal-squamous carcinoma model (0.821 accuracy, 0.776 sensitivity, 1.000 specificity). The high performance of deep learning models provides a reliable way for intraoperative detection of marginal tissue, and is expected to reduce the detection time and save human lives.",0,0
1847,"The application of machine learning algorithms in predicting the length of stay following femoral neck fracture. Femoral neck fracture is a frequent cause of hospitalization, and length of stay is an important marker of hospital cost and quality of care provided. As an extension of traditional statistical methods, machine learning provides the possibility of accurately predicting the length of hospital stay. The aim of this paper is to retrospectively identify predictive factors of the length of hospital stay (LOS) and predict the postoperative LOS by using machine learning algorithms.",0,0
1848,"Machine learning based early mortality prediction in the emergency department. It is a great challenge for emergency physicians to early detect the patient's deterioration and prevent unexpected death through a large amount of clinical data, which requires sufficient experience and keen insight.",0,0
1850,"Artificial intelligence approach towards assessment of condition of COVID-19 patients - Identification of predictive biomarkers associated with severity of clinical condition and disease progression. Although ML has been studied for different epidemiological and clinical issues as well as for survival prediction of COVID-19, there is a noticeable shortage of literature dealing with ML usage in prediction of disease severity changes through the course of the disease. In that way, predicting disease progression from mild towards moderate, severe and critical condition, would help not only to respond in a timely manner to prevent lethal results, but also to minimize the number of patients in hospitals where this is not necessary.",0,0
1852,"Deep Neural Network for Early Image Diagnosis of Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis. Stevens-Johnson syndrome (SJS)/toxic epidermal necrolysis (TEN) is a life-threatening cutaneous adverse drug reaction (cADR). Distinguishing SJS/TEN from nonsevere cADRs is difficult, especially in the early stages of the disease.",0,0
1854,"AI-based quantification of planned radiotherapy dose to cardiac structures and coronary arteries in breast cancer patients. To develop and evaluate an automatic deep learning method for segmentation of cardiac chambers and large arteries, and localization of the three main coronary arteries in radiotherapy planning CT. To determine the planned radiotherapy dose to cardiac structures for breast cancer therapy.",0,0
1856,"Real-time artificial intelligence for detecting focal lesions and diagnosing neoplasms of the stomach by white-light endoscopy (with videos). White-light endoscopy (WLE) is the most pivotal tool to detect gastric cancer in the early stage. However, the skill among endoscopists varies greatly. Here, we aim to develop a deep learning-based system named ENDOANGEL-LD (lesion detection) to assist in detecting all focal gastric lesions and predicting neoplasms by WLE.",0,0
1864,"Self-Supervised Graph Learning With Hyperbolic Embedding for Temporal Health Event Prediction. Electronic health records (EHRs) have been heavily used in modern healthcare systems for recording patients' admission information to health facilities. Many data-driven approaches employ temporal features in EHR for predicting specific diseases, readmission times, and diagnoses of patients. However, most existing predictive models cannot fully utilize EHR data, due to an inherent lack of labels in supervised training for some temporal events. Moreover, it is hard for the existing methods to simultaneously provide generic and personalized interpretability. To address these challenges, we propose Sherbet, a self-supervised graph learning framework with hyperbolic embeddings for temporal health event prediction. We first propose a hyperbolic embedding method with information flow to pretrain medical code representations in a hierarchical structure. We incorporate these pretrained representations into a graph neural network (GNN) to detect disease complications and design a multilevel attention method to compute the contributions of particular diseases and admissions, thus enhancing personalized interpretability. We present a new hierarchy-enhanced historical prediction proxy task in our self-supervised learning framework to fully utilize EHR data and exploit medical domain knowledge. We conduct a comprehensive set of experiments on widely used publicly available EHR datasets to verify the effectiveness of our model. Our results demonstrate the proposed model's strengths in both predictive tasks and interpretable abilities.",0,0
1866,"Interpretability-Based Multimodal Convolutional Neural Networks for Skin Lesion Diagnosis. Skin lesion diagnosis is a key step for skin cancer screening, which requires high accuracy and interpretability. Though many computer-aided methods, especially deep learning methods, have made remarkable achievements in skin lesion diagnosis, their generalization and interpretability are still a challenge. To solve this issue, we propose an interpretability-based multimodal convolutional neural network (IM-CNN), which is a multiclass classification model with skin lesion images and metadata of patients as input for skin lesion diagnosis. The structure of IM-CNN consists of three main paths to deal with metadata, features extracted from segmented skin lesion with domain knowledge, and skin lesion images, respectively. We add interpretable visual modules to provide explanations for both images and metadata. In addition to area under the ROC curve (AUC), sensitivity, and specificity, we introduce a new indicator, an AUC curve with a sensitivity larger than 80% (AUC_SEN_80) for performance evaluation. Extensive experimental studies are conducted on the popular HAM10000 dataset, and the results indicate that the proposed model has overwhelming advantages compared with popular deep learning models, such as DenseNet, ResNet, and other state-of-the-art models for melanoma diagnosis. The proposed multimodal model also achieves on average 72% and 21% improvement in terms of sensitivity and AUC_SEN_80, respectively, compared with the single-modal model. The visual explanations can also help gain trust from dermatologists and realize man-machine collaborations, effectively reducing the limitation of black-box models in supporting medical decision making.\enlargethispage-8pt.",0,0
1872,"Novel Application of Machine Learning Algorithms and Model-Agnostic Methods to Identify Factors Influencing Childhood Blood Lead Levels. Blood lead (Pb) poisoning remains a global concern, particularly for children in their early developmental years. Broken Hill is Australia's oldest operating silver-zinc-lead mine. In this study, we utilized recent advances in machine learning to assess multiple algorithms and identify the most optimal model for predicting childhood blood Pb levels (BLL) using Broken Hill children's (<5 years of age) data (<i>n</i> = 23,749) from 1991 to 2015, combined with demographic, socio-economic, and environmental influencing factors. We applied model-agnostic methods to interpret the most optimal model, investigating different environmental and human factors influencing childhood BLL. Algorithm assessment showed that stacked ensemble, a method for automatically and optimally combining multiple prediction algorithms, enhanced predictive performance by 1.1% with respect to mean absolute error (<i>p</i> < 0.01) and 2.6% for root-mean-squared error (<i>p</i> < 0.01) compared to the best performing constituent algorithm (random forest). By interpreting the model, the following information was acquired: children had higher BLL if they resided within 1.0 km to the central mine area or 1.37 km to the railroad; year of testing had the greatest interactive strength with all other factors; BLL increased faster in Aboriginal than in non-Aboriginal children at 9-10 and 12-18 months of age. This ""stacked ensemble + model-agnostic interpretation"" framework achieved both prediction accuracy and model interpretability, identifying previously unconnected variables associated with elevated childhood BLL, offering a marked advantage over previous works. Thus, this approach has a clear value and potential for application to other environmental health issues.",0,0
1878,"Non-melanoma skin cancer diagnosis: a comparison between dermoscopic and smartphone images by unified visual and sonification deep learning algorithms. Non-melanoma skin cancer (NMSC) is the most frequent keratinocyte-origin skin tumor. It is confirmed that dermoscopy of NMSC confers a diagnostic advantage as compared to visual face-to-face assessment. COVID-19 restrictions diagnostics by telemedicine photos, which are analogous to visual inspection, displaced part of in-person visits. This study evaluated by a dual convolutional neural network (CNN) performance metrics in dermoscopic (DI) versus smartphone-captured images (SI) and tested if artificial intelligence narrows the proclaimed gap in diagnostic accuracy.",0,0
1882,"Feasibility and Accuracy of Artificial Intelligence-Assisted Sponge Cytology for Community-Based Esophageal Squamous Cell Carcinoma Screening in China. Screening is the pivotal strategy to relieve the burden of esophageal squamous cell carcinoma (ESCC) in high-risk areas. The cost, invasiveness, and accessibility of esophagogastroduodenoscopy (EGD) necessitate the development of preliminary screening methods.",0,0
1883,"Automatic Classification of Thyroid Findings Using Static and Contextualized Ensemble Natural Language Processing Systems: Development Study. In the case of Korean institutions and enterprises that collect nonstandardized and nonunified formats of electronic medical examination results from multiple medical institutions, a group of experienced nurses who can understand the results and related contexts initially classified the reports manually. The classification guidelines were established by years of workers' clinical experiences and there were attempts to automate the classification work. However, there have been problems in which rule-based algorithms or human labor-intensive efforts can be time-consuming or limited owing to high potential errors. We investigated natural language processing (NLP) architectures and proposed ensemble models to create automated classifiers.",0,0
1884,"A Fully Automated Analytic System for Measuring Endolymphatic Hydrops Ratios in Patients With MÃ©niÃ¨re Disease via Magnetic Resonance Imaging: Deep Learning Model Development Study. Recently, the analysis of endolymphatic hydropses (EHs) via inner ear magnetic resonance imaging (MRI) for patients with MÃ©niÃ¨re disease has been attempted in various studies. In addition, artificial intelligence has rapidly been incorporated into the medical field. In our previous studies, an automated algorithm for EH analysis was developed by using a convolutional neural network. However, several limitations existed, and further studies were conducted to compensate for these limitations.",0,0
1885,"The Classification of Six Common Skin Diseases Based on Xiangya-Derm: Development of a Chinese Database for Artificial Intelligence. Skin and subcutaneous disease is the fourth-leading cause of the nonfatal disease burden worldwide and constitutes one of the most common burdens in primary care. However, there is a severe lack of dermatologists, particularly in rural Chinese areas. Furthermore, although artificial intelligence (AI) tools can assist in diagnosing skin disorders from images, the database for the Chinese population is limited.",0,0
1887,"Deep Learning for Adjacent Segment Disease at Preoperative MRI for Cervical Radiculopathy. Background Patients who undergo surgery for cervical radiculopathy are at risk for developing adjacent segment disease (ASD). Identifying patients who will develop ASD remains challenging for clinicians. Purpose To develop and validate a deep learning algorithm capable of predicting ASD by using only preoperative cervical MRI in patients undergoing single-level anterior cervical diskectomy and fusion (ACDF). Materials and Methods In this Health Insurance Portability and Accountability Act-compliant study, retrospective chart review was performed for 1244 patients undergoing single-level ACDF in two tertiary care centers. After application of inclusion and exclusion criteria, 344 patients were included, of whom 60% (<i>n</i> = 208) were used for training and 40% for validation (<i>n</i> = 43) and testing (<i>n</i> = 93). A deep learning-based prediction model with 48 convolutional layers was designed and trained by using preoperative T2-sagittal cervical MRI. To validate model performance, a neuroradiologist and neurosurgeon independently provided ASD predictions for the test set. Validation metrics included accuracy, areas under the curve, and F1 scores. The difference in proportion of wrongful predictions between the model and clinician was statistically tested by using the McNemar test. Results A total of 344 patients (median age, 48 years; interquartile range, 41-58 years; 182 women) were evaluated. The model predicted ASD on the 93 test images with an accuracy of 88 of 93 (95%; 95% CI: 90, 99), sensitivity of 12 of 15 (80%; 95% CI: 60, 100), and specificity of 76 of 78 (97%; 95% CI: 94, 100). The neuroradiologist and neurosurgeon provided predictions with lower accuracy (54 of 93; 58%; 95% CI: 48, 68), sensitivity (nine of 15; 60%; 95% CI: 35, 85), and specificity (45 of 78; 58%; 95% CI: 56, 77) compared with the algorithm. The McNemar test on the contingency table demonstrated that the proportion of wrongful predictions was significantly lower by the model (test statistic, 2.000; <i>P</i> < .001). Conclusion A deep learning algorithm that used only preoperative cervical T2-weighted MRI outperformed clinical experts at predicting adjacent segment disease in patients undergoing surgery for cervical radiculopathy. Â© RSNA, 2021.",1,1
1900,"Application of Pre-Trained Deep Learning Models for Clinical ECGs. Automatic electrocardiogram (ECG) analysis has been one of the very early use cases for computer assisted diagnosis (CAD). Most ECG devices provide some level of automatic ECG analysis. In the recent years, Deep Learning (DL) is increasingly used for this task, with the first models that claim to perform better than human physicians. In this manuscript, a pilot study is conducted to evaluate the added value of such a DL model to existing built-in analysis with respect to clinical relevance. 29 12-lead ECGs have been analyzed with a published DL model and results are compared to build-in analysis and clinical diagnosis. We could not reproduce the results of the test data exactly, presumably due to a different runtime environment. However, the errors were in the order of rounding errors and did not affect the final classification. The excellent performance in detection of left bundle branch block and atrial fibrillation that was reported in the publication could be reproduced. The DL method and the built-in method performed similarly good for the chosen cases regarding clinical relevance. While benefit of the DL method for research can be attested and usage in training can be envisioned, evaluation of added value in clinical practice would require a more comprehensive study with further and more complex cases.",1,1
1901,"Towards Interpretable Machine Learning in EEG Analysis. In this paper a machine learning model for automatic detection of abnormalities in electroencephalography (EEG) is dissected into parts, so that the influence of each part on the classification accuracy score can be examined. The most successful setup of several shallow artificial neural networks aggregated via voting results in accuracy of 81%. Stepwise simplification of the model shows the expected decrease in accuracy, but a naive model with thresholding of a single extracted feature (relative wavelet energy) is still able to achieve 75%, which remains strongly above the random guess baseline of 54%. These results suggest the feasibility of building a simple classification model ensuring accuracy scores close to the state-of-the-art research but remaining fully interpretable.",0,0
1902,"Multi-Disease Detection in Retinal Imaging Based on Ensembling Heterogeneous Deep Learning Models. Preventable or undiagnosed visual impairment and blindness affect billion of people worldwide. Automated multi-disease detection models offer great potential to address this problem via clinical decision support in diagnosis. In this work, we proposed an innovative multi-disease detection pipeline for retinal imaging which utilizes ensemble learning to combine the predictive capabilities of several heterogeneous deep convolutional neural network models. Our pipeline includes state-of-the-art strategies like transfer learning, class weighting, real-time image augmentation and Focal loss utilization. Furthermore, we integrated ensemble learning techniques like heterogeneous deep learning models, bagging via 5-fold cross-validation and stacked logistic regression models. Through internal and external evaluation, we were able to validate and demonstrate high accuracy and reliability of our pipeline, as well as the comparability with other state-of-the-art pipelines for retinal disease prediction.",0,0
1904,"Deep learning methods for automatic segmentation of lower leg muscles and bones from MRI scans of children with and without cerebral palsy. Cerebral palsy is a neurological condition that is known to affect muscle growth. Detailed investigations of muscle growth require segmentation of muscles from MRI scans, which is typically done manually. In this study, we evaluated the performance of 2D, 3D, and hybrid deep learning models for automatic segmentation of 11 lower leg muscles and two bones from MRI scans of children with and without cerebral palsy. All six models were trained and evaluated on manually segmented T<sub>1</sub> -weighted MRI scans of the lower legs of 20 children, six of whom had cerebral palsy. The segmentation results were assessed using the median Dice similarity coefficient (DSC), average symmetric surface distance (ASSD), and volume error (VError) of all 13 labels of every scan. The best performance was achieved by H-DenseUNet, a hybrid model (DSC 0.90, ASSD 0.5 mm, and VError 2.6 cm<sup>3</sup> ). The performance was equivalent to the inter-rater performance of manual segmentation (DSC 0.89, ASSD 0.6 mm, and VError 3.3 cm<sup>3</sup> ). Models trained with the Dice loss function outperformed models trained with the cross-entropy loss function. Near-optimal performance could be attained using only 11 scans for training. Segmentation performance was similar for scans of typically developing children (DSC 0.90, ASSD 0.5 mm, and VError 2.8 cm<sup>3</sup> ) and children with cerebral palsy (DSC 0.85, ASSD 0.6 mm, and VError 2.4 cm<sup>3</sup> ). These findings demonstrate the feasibility of fully automatic segmentation of individual muscles and bones from MRI scans of children with and without cerebral palsy.",0,0
1905,Robustness of deep learning segmentation of cardiac substructures in noncontrast computed tomography for breast cancer radiotherapy. To develop and evaluate deep learning-based autosegmentation of cardiac substructures from noncontrast planning computed tomography (CT) images in patients undergoing breast cancer radiotherapy and to investigate the algorithm sensitivity to out-of-distribution data such as CT image artifacts.,0,0
1907,"Robustifying Deep Networks for Medical Image Segmentation. The purpose of this study is to investigate the robustness of a commonly used convolutional neural network for image segmentation with respect to nearly unnoticeable adversarial perturbations, and suggest new methods to make these networks more robust to such perturbations. In this retrospective study, the accuracy of brain tumor segmentation was studied in subjects with low- and high-grade gliomas. Two representative UNets were implemented to segment four different MR series (T1-weighted, post-contrast T1-weighted, T2-weighted, and T2-weighted FLAIR) into four pixelwise labels (Gd-enhancing tumor, peritumoral edema, necrotic and non-enhancing tumor, and background). We developed attack strategies based on the fast gradient sign method (FGSM), iterative FGSM (i-FGSM), and targeted iterative FGSM (ti-FGSM) to produce effective but imperceptible attacks. Additionally, we explored the effectiveness of distillation and adversarial training via data augmentation to counteract these adversarial attacks. Robustness was measured by comparing the Dice coefficients for the attacks using Wilcoxon signed-rank tests. The experimental results show that attacks based on FGSM, i-FGSM, and ti-FGSM were effective in reducing the quality of image segmentation by up to 65% in the Dice coefficient. For attack defenses, distillation performed significantly better than adversarial training approaches. However, all defense approaches performed worse compared to unperturbed test images. Therefore, segmentation networks can be adversely affected by targeted attacks that introduce visually minor (and potentially undetectable) modifications to existing images. With an increasing interest in applying deep learning techniques to medical imaging data, it is important to quantify the ramifications of adversarial inputs (either intentional or unintentional).",0,0
